"";"site";"min_year";"len_year";"climate";"spp_latin";"spp_eng";"altitude";"error";"lat";"lon";"continent";"climate_long"
"906";"neth034";1856;134;16;"Pinus sylvestris L.";"Scots pine";26;0;52,23;5,92;"europe";"Temperate/Without_dry_season/Warm_Summer"
"937";"finl052";1882;120;28;"Pinus sylvestris L.";"Scots pine";-999;0;63,1;29,63;"europe";"Cold/Without_dry_season/Cold_summer"
"938";"finl039";1864;130;28;"Pinus sylvestris L.";"Scots pine";-999;0;61,85;28,9;"europe";"Cold/Without_dry_season/Cold_summer"
"1084";"brit021";1828;149;16;"Pinus sylvestris L.";"Scots pine";200;0;56,6333;-3,35;"europe";"Temperate/Without_dry_season/Warm_Summer"
"1086";"spai006";1842;136;16;"Pinus sylvestris L.";"Scots pine";1900;0;42,03;-2,7;"europe";"Temperate/Without_dry_season/Warm_Summer"
"1091";"brit019";1843;134;16;"Pinus sylvestris L.";"Scots pine";100;0;50,95;-1,68;"europe";"Temperate/Without_dry_season/Warm_Summer"
"1262";"fran6";1836;147;10;"Pinus sylvestris L.";"Scots pine";750;0;43,32;5,73;"europe";"Temperate/Dry_Summer/Warm_Summer"
"1339";"swit188";1866;142;32;"Pinus sylvestris L.";"Scots pine";580;0;46,3;7,57;"europe";"Polar/Tundra"
"1601";"germ153";1862;144;16;"Pinus sylvestris L.";"Scots pine";360;0;51,15;9,0833;"europe";"Temperate/Without_dry_season/Warm_Summer"
"1661";"germ214";1886;116;16;"Pinus sylvestris L.";"Scots pine";275;0;50,7833;7,5667;"europe";"Temperate/Without_dry_season/Warm_Summer"
